"datetime","open","high","low","close","Hp","Lp"
1630900920,51658.13,51664.54,51629.06,51630.12,51776.4414,51267.3125
1630900980,51630.12,51639.77,51611.37,51630.56,51776.4414,51267.3125
1630901040,51630.56,51666.62,51626.21,51661.43,51776.4414,51267.3125
1630901100,51661.17,51664.69,51631.28,51641.03,51776.4414,51267.3125
1630901160,51641.03,51677.35,51641,51675.93,51776.4414,51267.3125
1630901220,51675.94,51675.94,51652.34,51659.92,51776.4414,51267.3125
1630901280,51659.91,51700,51659.91,51695.99,51776.4414,51267.3125
1630901340,51696,51700,51687.74,51697.71,51776.4414,51267.3125
1630901400,51699,51700,51662.9,51669.99,51776.4414,51267.3125
1630901460,51669.99,51672.16,51656.12,51665.33,51776.4414,51267.3125
1630901520,51665.34,51693.74,51665.34,51684.84,51776.4414,51267.3125
1630901580,51684.85,51685.86,51667.4,51670,51776.4414,51267.3125
1630901640,51670.01,51696.43,51667.28,51690,51776.4414,51267.3125
1630901700,51690,51690,51657.86,51661.74,51776.4414,51267.3125
1630901760,51661.74,51668.28,51646.27,51657.81,51776.4414,51267.3125
1630901820,51657.8,51685.92,51657.8,51680.01,51776.4414,51267.3125
1630901880,51680.01,51686.06,51673.19,51680.24,51776.4414,51267.3125
1630901940,51680.24,51719.22,51667.44,51704.5,51776.4414,51267.3125
1630902000,51704.49,51721.89,51704.49,51710,51776.4414,51267.3125
1630902060,51710.01,51712.81,51684.98,51698.17,51776.4414,51267.3125
1630902120,51698.17,51722.68,51690.21,51722.67,51776.4414,51267.3125
1630902180,51720.6,51724.07,51710.56,51720.9,51776.4414,51267.3125
1630902240,51720.9,51720.9,51686.1,51697.3,51776.4414,51267.3125
1630902300,51696.78,51700,51673.58,51673.61,51776.4414,51267.3125
1630902360,51673.6,51690,51668.82,51670,51776.4414,51267.3125
1630902420,51670,51696.59,51668.25,51694.1,51776.4414,51267.3125
1630902480,51692.76,51720,51690.51,51719.46,51776.4414,51267.3125
1630902540,51719.45,51732.5,51711.69,51729.98,51776.4414,51267.3125
1630902600,51729.98,51731.79,51712.03,51726.06,51776.4414,51267.3125
1630902660,51726.06,51728,51708.82,51716.3,51776.4414,51267.3125
1630902720,51716.39,51728,51716.39,51721.26,51776.4414,51267.3125
1630902780,51721.26,51721.27,51693.63,51711.01,51776.4414,51267.3125
1630902840,51711,51715,51704.17,51711.99,51776.4414,51267.3125
1630902900,51711.99,51712.93,51684.42,51694.99,51776.4414,51267.3125
1630902960,51694.99,51707.75,51681.77,51707.75,51776.4414,51267.3125
1630903020,51707.76,51723.84,51703.15,51706.82,51776.4414,51267.3125
1630903080,51706.81,51710.93,51690.49,51692.15,51776.4414,51267.3125
1630903140,51692.15,51700,51683.9,51700,51776.4414,51267.3125
1630903200,51699.99,51727.77,51697.98,51725.98,51776.4414,51267.3125
1630903260,51725.98,51731.59,51711,51712.66,51776.4414,51267.3125
1630903320,51712.67,51723.79,51708.44,51711.2,51776.4414,51267.3125
1630903380,51711.2,51711.21,51701.86,51705.07,51776.4414,51267.3125
1630903440,51703,51727.52,51702.03,51724.14,51776.4414,51267.3125
1630903500,51724.14,51726.8,51688.47,51693.78,51776.4414,51267.3125
1630903560,51693.78,51696.65,51688.07,51688.24,51776.4414,51267.3125
1630903620,51688.24,51695.85,51677.77,51677.77,51776.4414,51267.3125
1630903680,51677.77,51677.78,51654.63,51668.47,51776.4414,51267.3125
1630903740,51668.47,51694.62,51668.47,51691.08,51776.4414,51267.3125
1630903800,51691.08,51693.17,51679.65,51687.52,51776.4414,51267.3125
1630903860,51686.84,51687.57,51657.94,51671.38,51776.4414,51267.3125
1630903920,51671.38,51683.93,51666.9,51682.12,51776.4414,51267.3125
1630903980,51682.13,51682.77,51664.84,51664.84,51776.4414,51267.3125
1630904040,51664.84,51680,51625.82,51654.55,51776.4414,51267.3125
1630904100,51654.55,51654.55,51632.57,51633.37,51776.4414,51267.3125
1630904160,51633.37,51679.72,51629.34,51673.14,51776.4414,51267.3125
1630904220,51673.14,51673.15,51659.42,51662.49,51776.4414,51267.3125
1630904280,51662.5,51680,51662.5,51675.81,51776.4414,51267.3125
