num,time,side,lot,sym,o,c,pip,size,pips,
112431768,2022-07-22 00:52:41,DEPOSIT,0,16.71,,,,,,
112369627,2022-07-21 05:57:54,DEPOSIT,0,5.95,,,,,,
112361867,2022-07-20 22:06:38,DEPOSIT,0,0.8,,,,,,
112359589,2022-07-20 21:12:04,DEPOSIT,0,1.78,,,,,,
112280241,2022-07-19 23:00:01,SELL,0.07,AUDCAD,0.89308,0.88805,2.72,27.16,2.72 pips,
112280157,2022-07-19 21:53:50,SELL,0.07,AUDCAD,0.89307,0.88826,2.6,25.95,2.60 pips,
112191352,2022-07-16 10:26:24,DEPOSIT,0,40.51,1 ... 14 15 16 17 18 ... 107,,,,,
112191344,2022-07-16 10:26:21,DEPOSIT,0,1.18,,,,,,
112191334,2022-07-16 10:26:17,DEPOSIT,0,0.05,,,,,,
112191324,2022-07-16 10:26:14,DEPOSIT,0,2.81,,,,,,
112191320,2022-07-16 10:26:13,DEPOSIT,0,2.37,,,,,,
112191319,2022-07-16 10:26:13,DEPOSIT,0,4.88,,,,,,
112191302,2022-07-16 10:26:05,DEPOSIT,0,5.22,,,,,,
112191290,2022-07-16 10:25:59,DEPOSIT,0,2.75,,,,,,
112191277,2022-07-16 10:25:56,DEPOSIT,0,2.84,,,,,,
112191267,2022-07-16 10:25:52,DEPOSIT,0,2.38,,,,,,
112191266,2022-07-16 10:25:50,DEPOSIT,0,3.98,,,,,,
112191264,2022-07-16 10:25:50,DEPOSIT,0,2.35,,,,,,
112191255,2022-07-16 10:25:44,DEPOSIT,0,2.35,,,,,,
112191252,2022-07-16 10:25:39,DEPOSIT,0,1.14,,,,,,
112191251,2022-07-16 10:25:39,DEPOSIT,0,2.4,,,,,,
112191250,2022-07-16 10:25:39,DEPOSIT,0,5.86,,,,,,
112191249,2022-07-16 10:25:39,DEPOSIT,0,3.91,,,,,,
112191245,2022-07-16 10:25:37,DEPOSIT,0,4.24,,,,,,
112191242,2022-07-16 10:25:35,DEPOSIT,0,2.81,,,,,,
112191235,2022-07-16 10:25:29,DEPOSIT,0,10.12,,,,,,
112191232,2022-07-16 10:25:28,DEPOSIT,0,5.72,1 ... 15 16 17 18 19 ... 107,,,,,
112191230,2022-07-16 10:25:27,DEPOSIT,0,2.78,,,,,,
112191221,2022-07-16 10:25:20,DEPOSIT,0,2.35,,,,,,
112191220,2022-07-16 10:25:20,DEPOSIT,0,1.1,,,,,,
112191219,2022-07-16 10:25:20,DEPOSIT,0,4.77,,,,,,
112191210,2022-07-16 10:25:15,DEPOSIT,0,38.28,,,,,,
112191195,2022-07-16 10:25:10,DEPOSIT,0,2.88,,,,,,
112191183,2022-07-16 10:25:02,DEPOSIT,0,2.4,,,,,,
112191167,2022-07-16 10:24:45,DEPOSIT,0,5.71,,,,,,
112191160,2022-07-16 10:24:41,DEPOSIT,0,2.36,,,,,,
112191136,2022-07-16 10:24:24,DEPOSIT,0,2.44,,,,,,
112191130,2022-07-16 10:24:17,DEPOSIT,0,4.01,,,,,,
112191127,2022-07-16 10:24:13,DEPOSIT,0,2.19,,,,,,
112191123,2022-07-16 10:24:11,DEPOSIT,0,7.42,,,,,,
112191122,2022-07-16 10:24:11,DEPOSIT,0,4.01,,,,,,
112191121,2022-07-16 10:24:11,DEPOSIT,0,3.54,,,,,,
112191107,2022-07-16 10:23:40,DEPOSIT,0,6.3,,,,,,
112191106,2022-07-16 10:23:40,DEPOSIT,0,5.18,,,,,,
112191049,2022-07-16 10:22:27,DEPOSIT,0,4.82,,,,,,
112191047,2022-07-16 10:22:25,DEPOSIT,0,20.15,,,,,,
112191038,2022-07-16 10:22:18,DEPOSIT,0,2.41,1 ... 16 17 18 19 20 ... 107,,,,,
112191031,2022-07-16 10:22:13,DEPOSIT,0,20.36,,,,,,
112191017,2022-07-16 10:21:59,DEPOSIT,0,6.17,,,,,,
112191012,2022-07-16 10:21:55,DEPOSIT,0,4.64,,,,,,
