num,time,side,lot,sym,o,c,pip,size,pips
104991051,2022-03-16 15:23:27,BUY,0.009,AUDCAD,0.92597,0.92181,-0.3,-2.74,-0.30 pips
104963425,2022-03-15 10:00:01,BUY,0.0038,NZDCAD,0.86578,0.86685,0.03,0.28,0.03 pips
104963316,2022-03-15 10:15:01,BUY,0.0038,NZDCAD,0.86574,0.86706,0.04,0.35,0.04 pips
104963225,2022-03-15 14:15:00,BUY,0.0038,NZDCAD,0.86574,0.86855,0.08,0.75,0.08 pips
104963120,2022-03-15 09:30:03,BUY,0.0039,NZDCAD,0.86585,0.86633,0.01,0.12,0.01 pips
104962445,2022-03-15 13:45:01,BUY,0.0039,NZDCAD,0.86641,0.86829,0.06,0.51,0.06 pips
104962326,2022-03-15 10:30:01,BUY,0.0039,NZDCAD,0.8664,0.86768,0.04,0.34,0.04 pips
104959988,2022-03-15 14:45:01,BUY,0.0036,AUDCAD,0.92847,0.92538,-0.09,-0.81,-0.09 pips
104959856,2022-03-15 10:29:20,BUY,0.0036,AUDCAD,0.92842,0.92493,-0.1,-0.91,-0.10 pips
104958195,2022-03-15 15:59:14,BUY,0.0036,AUDCAD,0.92924,0.92596,-0.09,-0.86,-0.09 pips
104948800,2022-03-16 09:45:03,BUY,0.0036,AUDCAD,0.9295,0.92092,-0.25,-2.24,-0.25 pips
104946567,2022-03-16 15:23:27,BUY,0.0036,AUDCAD,0.92943,0.92181,-0.22,-2,-0.22 pips
104944560,2022-03-15 09:30:04,BUY,0.0039,NZDCAD,0.86814,0.86634,-0.06,-0.51,-0.06 pips
104547396,2022-03-08 12:12:12,WITHDRAWAL,0,-50,,,,,
104417191,2022-03-07 17:46:18,SELL,0.0044,AUDCAD,0.94129,0.93756,0.13,1.18,0.13 pips
104417149,2022-03-07 14:37:40,SELL,0.0109,AUDCAD,0.94129,0.93978,0.13,1.19,0.13 pips
104417107,2022-03-07 17:46:19,SELL,0.0044,AUDCAD,0.9413,0.93758,0.13,1.18,0.13 pips
104417064,2022-03-07 14:37:40,SELL,0.0109,AUDCAD,0.94131,0.93978,0.13,1.2,0.13 pips
104417022,2022-03-07 17:46:19,SELL,0.0044,AUDCAD,0.94129,0.93754,0.13,1.19,0.13 pips
104416980,2022-03-07 17:46:19,SELL,0.0017,AUDCAD,0.94128,0.93754,0.05,0.46,0.05 pips
104416938,2022-03-07 14:37:41,SELL,0.0111,AUDCAD,0.94128,0.93972,0.13,1.25,0.13 pips
104416896,2022-03-07 17:46:20,SELL,0.0044,AUDCAD,0.94128,0.93749,0.13,1.2,0.13 pips
104416854,2022-03-07 17:46:20,SELL,0.0044,AUDCAD,0.94127,0.93753,0.13,1.19,0.13 pips
104416812,2022-03-07 17:46:21,SELL,0.0044,AUDCAD,0.94127,0.93753,0.13,1.19,0.13 pips
104416770,2022-03-07 17:45:56,SELL,0.0044,AUDCAD,0.94129,0.93755,0.13,1.19,0.13 pips
